"species"	"x"	"y"
"Trigona spinipes"	-46.993778	-22.941217
"Trigona spinipes"	-46.634645	-23.458144
"Trigona spinipes"	-48.454025	-22.866301
"Trigona spinipes"	-46.570871	-23.73215
"Trigona spinipes"	-46.921601	-23.280158
"Trigona spinipes"	-44.871074	-23.152174
"Trigona spinipes"	-48.729182	-26.754782
"Trigona spinipes"	-43.187947	-22.966663
"Trigona spinipes"	-35.165012	-7.923776
"Trigona spinipes"	-34.7965	-7.158342
"Trigona spinipes"	-49.322178	-28.699573
"Trigona spinipes"	-47.706258	-15.911
"Trigona spinipes"	-47.926761	-15.891832
"Trigona spinipes"	-47.417154	-22.578207
"Trigona spinipes"	-42.96285	-22.455412
"Trigona spinipes"	-35.165012	-7.923776
"Trigona spinipes"	-44.296301	-21.740146
"Trigona spinipes"	-51.186397	-28.059503
"Trigona spinipes"	-37.696331	-4.529956
"Trigona spinipes"	-50.386157	-29.422776
"Trigona spinipes"	-47.9078	-15.800343
"Trigona spinipes"	-35.165012	-7.923776
"Trigona spinipes"	-47.759472	-15.650645
"Trigona spinipes"	-46.57058	-23.7328
"Trigona spinipes"	-48.650073	-26.816027
"Trigona spinipes"	-47.972003	-15.738433
"Trigona spinipes"	-47.934138	-15.736392
"Trigona spinipes"	-47.862839	-15.936301
"Trigona spinipes"	-43.162482	-22.953575
"Trigona spinipes"	-47.8958	-15.844967
"Trigona spinipes"	-46.360705	-22.999322
"Trigona spinipes"	-47.852744	-15.670733
"Trigona spinipes"	-47.037756	-22.784671
"Trigona spinipes"	-47.886817	-15.733383
"Trigona spinipes"	-47.862324	-15.76857
"Trigona spinipes"	-47.836923	-15.736069
"Trigona spinipes"	-47.862698	-15.768679
"Trigona spinipes"	-43.691412	-20.523639
"Trigona spinipes"	-46.6912	-23.603072
"Trigona spinipes"	-47.837208	-15.736163
"Trigona spinipes"	-47.759906	-22.436066
"Trigona spinipes"	-49.271247	-25.452969
"Trigona spinipes"	-47.837226	-15.735802
"Trigona spinipes"	-47.856819	-15.671995
"Trigona spinipes"	-47.852503	-15.670943
"Trigona spinipes"	-47.87907	-15.779194
"Trigona spinipes"	-46.940289	-23.450999
"Trigona spinipes"	-47.852045	-15.67071
"Trigona spinipes"	-47.817405	-15.826055
"Trigona spinipes"	-47.879858	-15.767492
"Trigona spinipes"	-49.142389	-25.914888
"Trigona spinipes"	-47.837212	-15.735975
"Trigona spinipes"	-47.811723	-15.809535
"Trigona spinipes"	-47.818055	-15.825873
"Trigona spinipes"	-50.262032	-29.892234
"Trigona spinipes"	-55.592735	-27.38501
"Trigona spinipes"	-47.87734	-15.779703
"Trigona spinipes"	-47.938555	-19.751133
"Trigona spinipes"	-35.772048	-8.170197
"Trigona spinipes"	-34.825544	-7.907342
"Trigona spinipes"	-51.109953	-23.296286
"Trigona spinipes"	-49.28975	-25.417142
"Trigona spinipes"	-50.262032	-29.892234
"Trigona spinipes"	-47.837179	-15.735994
"Trigona spinipes"	-49.28972	-25.417278
"Trigona spinipes"	-49.249746	-25.512815
"Trigona spinipes"	-44.47716	-20.386121
"Trigona spinipes"	-43.992905	-20.289922
"Trigona spinipes"	-49.300688	-25.42929
"Trigona spinipes"	-49.28977	-25.417142
"Trigona spinipes"	-45.062434	-22.10611
"Trigona spinipes"	-47.877456	-15.779959
"Trigona spinipes"	-47.877444	-15.779889
"Trigona spinipes"	-42.870598	-20.759349
"Trigona spinipes"	-47.875918	-15.777872
"Trigona spinipes"	-46.690442	-23.610788
"Trigona spinipes"	-46.690433	-23.610912
"Trigona spinipes"	-46.690645	-23.610883
"Trigona spinipes"	-46.985516	-23.010727
"Trigona spinipes"	-50.262032	-29.892234
"Trigona spinipes"	-49.177812	-28.23353
"Trigona spinipes"	-49.019861	-22.322379
"Trigona spinipes"	-47.836203	-15.819504
"Trigona spinipes"	-43.196604	-22.952637
"Trigona spinipes"	-49.314904	-28.697932
"Trigona spinipes"	-43.978998	-19.899328
"Trigona spinipes"	-47.853618	-15.769476
"Trigona spinipes"	-49.566405	-28.060875
"Trigona spinipes"	-46.738199	-23.578312
"Trigona spinipes"	-47.877467	-15.779923
"Trigona spinipes"	-47.877478	-15.779914
"Trigona spinipes"	-47.927004	-16.016756
"Trigona spinipes"	-47.926972	-16.016786
"Trigona spinipes"	-47.881883	-15.765169
"Trigona spinipes"	-47.910619	-15.813022
"Trigona spinipes"	-47.963857	-19.75804
"Trigona spinipes"	-47.877644	-15.777512
"Trigona spinipes"	-42.936787	-18.790343
"Trigona spinipes"	-50.262032	-29.892234
