Tipo de Acidente ;Ano;Acc
Ign/Branco;2010;3339
Serpente;2010;29661
Aranha;2010;24719
Escorpião;2010;51754
Lagarta;2010;3414
Abelha;2010;7372
Outros;2010;4612
Ign/Branco;2011;3670
Serpente;2011;30101
Aranha;2011;26201
Escorpião;2011;59282
Lagarta;2011;3819
Abelha;2011;9598
Outros;2011;5200
Ign/Branco;2012;3672
Serpente;2012;28340
Aranha;2012;25261
Escorpião;2012;64160
Lagarta;2012;3871
Abelha;2012;10226
Outros;2012;5811
Ign/Branco;2013;3525
Serpente;2013;27291
Aranha;2013;29533
Escorpião;2013;78357
Lagarta;2013;3720
Abelha;2013;10728
Outros;2013;6442
Ign/Branco;2014;3660
Serpente;2014;26145
Aranha;2014;26779
Escorpião;2014;87098
Lagarta;2014;3513
Abelha;2014;14061
Outros;2014;7145
Ign/Branco;2015;3923
Serpente;2015;27113
Aranha;2015;30365
Escorpião;2015;86413
Lagarta;2015;3381
Abelha;2015;13723
Outros;2015;7179
Ign/Branco;2016;3528
Serpente;2016;26561
Aranha;2016;29070
Escorpião;2016;91714
Lagarta;2016;3817
Abelha;2016;12111
Outros;2016;7251
Ign/Branco;2017;4440
Serpente;2017;28896
Aranha;2017;36152
Escorpião;2017;157805
Lagarta;2017;6652
Abelha;2017;20835
Outros;2017;11877
Ign/Branco;2018;4126
Serpente;2018;28753
Aranha;2018;33148
Escorpião;2018;125239
Lagarta;2018;5151
Abelha;2018;17124
Outros;2018;9794
Ign/Branco;2019;3647
Serpente;2019;29862
Aranha;2019;29259
Escorpião;2019;144365
Lagarta;2019;4036
Abelha;2019;17347
Outros;2019;9018
Ign/Branco;2020;4706
Serpente;2020;31876
Aranha;2020;38117
Escorpião;2020;162134
Lagarta;2020;6035
Abelha;2020;22928
Outros;2020;12116
Ign/Branco;2021;648
Serpente;2021;5563
Aranha;2021;4970
Escorpião;2021;20766
Lagarta;2021;1222
Abelha;2021;3226
Outros;2021;1513
